date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:03	396/396	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:05%20GMT	http://edge-sample17.firstmall.kr/mypage/mygdqna_catalog	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/mypage/mygdqna_catalog.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:04	41276/41276	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:05%20GMT	http://edge-sample17.firstmall.kr/board/?id=faq	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/board/index4fcb.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:04	394/394	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:05%20GMT	http://edge-sample17.firstmall.kr/mypage/myqna_catalog	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/mypage/myqna_catalog.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:04	41598/41598	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:06%20GMT	http://edge-sample17.firstmall.kr/board/?id=bulkorder	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/board/index18d9.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:05	50594/50594	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:06%20GMT	http://edge-sample17.firstmall.kr/board/view?id=notice&seq=4	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/board/viewa69f.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:05	88741/88741	---M--	200	added ('OK')	application/javascript	etag:%22300ba5-15aa5-56ce1d93e3b67%22	http://edge-sample17.firstmall.kr/data/js/language/L10n_KR.js?dummy=20180525000424	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/data/js/language/L10n_KR6f32.js	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:05	88/88	---M--	200	added ('OK')	image/gif	etag:%2258dffc-58-55dd7752f57ae%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/board/icon/icon_hot.gif	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/board/icon/icon_hot.gif	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:05	51190/51190	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:07%20GMT	http://edge-sample17.firstmall.kr/board/view?id=notice&seq=3	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/board/viewb398.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:06	51012/51012	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:07%20GMT	http://edge-sample17.firstmall.kr/board/view?id=notice&seq=2	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/board/view9b4a.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:06	50407/50407	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20May%202018%2015:09:07%20GMT	http://edge-sample17.firstmall.kr/board/view?id=notice&seq=1	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/board/view58f6.html	(from http://edge-sample17.firstmall.kr/service/cs)
00:09:09	2040/2040	---M--	200	added ('OK')	image/png	etag:%22470106-7f8-55dd775139e06%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_prev.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_prev.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:10	2048/2048	---M--	200	added ('OK')	image/png	etag:%22470110-800-55dd77513a5d6%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_prev_on.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_prev_on.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:10	2025/2025	---M--	200	added ('OK')	image/png	etag:%2247010a-7e9-55dd77513a1ee%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_next.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_next.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:10	2051/2051	---M--	200	added ('OK')	image/png	etag:%22470102-803-55dd775139a1e%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_next_on.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn1_next_on.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:10	1335/1335	---M--	200	added ('OK')	image/png	etag:%22470108-537-55dd775139e06%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_prev.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_prev.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:10	1363/1363	---M--	200	added ('OK')	image/png	etag:%22470111-553-55dd77513a5d6%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_prev_on.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_prev_on.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:11	1336/1336	---M--	200	added ('OK')	image/png	etag:%2247010c-538-55dd77513a1ee%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_next.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_next.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:11	1339/1339	---M--	200	added ('OK')	image/png	etag:%22470104-53b-55dd775139a1e%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_next_on.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn2_next_on.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:11	1470/1470	---M--	200	added ('OK')	image/png	etag:%2247010b-5be-55dd77513a1ee%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_prev.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_prev.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:11	1469/1469	---M--	200	added ('OK')	image/png	etag:%22470103-5bd-55dd775139a1e%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_prev_on.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_prev_on.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:12	1456/1456	---M--	200	added ('OK')	image/png	etag:%2247010e-5b0-55dd77513a5d6%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_next.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_next.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:12	1457/1457	---M--	200	added ('OK')	image/png	etag:%22470107-5b1-55dd775139e06%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_next_on.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn3_next_on.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:12	1580/1580	---M--	200	added ('OK')	image/png	etag:%2247010d-62c-55dd77513a1ee%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn4_prev.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn4_prev.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:12	1861/1861	---M--	200	added ('OK')	image/png	etag:%22470105-745-55dd775139e06%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn4_prev_on.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn4_prev_on.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
00:09:13	1607/1607	---M--	200	added ('OK')	image/png	etag:%2247010f-647-55dd77513a5d6%22	http://edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn4_next.png	C:/My%20Web%20Sites/test1/edge-sample17.firstmall.kr/admin/skin/default/images/design/banner/btn/btn4_next.png	(from http://edge-sample17.firstmall.kr/app/javascript/plugin/anibanner/anibanner.css)
